"ticker","fiscal_period","fiscal_year","company_cat","simfinid"
"AHPI","Q4",2022,"nonfinancials",262963
"AKOM","Q2",2023,"nonfinancials",13646225
"APOG","Q2",2024,"nonfinancials",327543
"AY","Q3",2021,"nonfinancials",1300945
"BBBY","Q2",2022,"nonfinancials",60362
"BEBE","Q4",2017,"nonfinancials",998467
"BWLA","Q4",2020,"nonfinancials",287640
"CCL","Q3",2024,"nonfinancials",288836
"CNXC","Q3",2024,"nonfinancials",1234046
"CPRT","Q4",2024,"nonfinancials",287342
"CUK","Q3",2024,"nonfinancials",10383308
"DPZ","Q3",2024,"nonfinancials",338660
"DRI","Q1",2025,"nonfinancials",108420
"DTSS","Q4",2024,"nonfinancials",11035228
"DZSI","Q3",2023,"nonfinancials",202955
"FNVT","Q2",2024,"nonfinancials",13511396
"FONR","Q4",2023,"nonfinancials",512339
"HYSR","Q4",2025,"nonfinancials",11033999
"IDLM","Q2",2013,"nonfinancials",659864
"INFO","Q3",2021,"nonfinancials",330628
"IXHL","Q2",2024,"nonfinancials",13841937
"KMX","Q2",2024,"nonfinancials",327637
"KRBP","Q3",2024,"nonfinancials",11036169
"LATG","Q2",2023,"nonfinancials",13950754
"MKC","Q3",2024,"nonfinancials",251282
"NAPA","Q4",2024,"nonfinancials",10384217
"NEOG","Q1",2025,"nonfinancials",965693
"PAYX","Q1",2025,"nonfinancials",106287
"PCYG","Q4",2024,"nonfinancials",9075986
"PVHO","Q4",2017,"nonfinancials",340334
"RAVN","Q3",2020,"nonfinancials",664566
"RNLX","Q4",2024,"nonfinancials",1253387
"RRTS","Q3",2019,"nonfinancials",12444447
"SANW","Q4",2024,"nonfinancials",246310
"STZ","Q2",2024,"nonfinancials",256994
"THO","Q4",2024,"nonfinancials",43246
"TSP","Q3",2023,"nonfinancials",11819631
"UNFI","Q4",2024,"nonfinancials",52168
