Date,IVV,EEM,XLU,VOO,VTI,XLRE,XLK,XLI,XLY,AOR,XLV,XLP,FBND,XLB,VT,XLF,SPY,XLE,TDVG,AOA
2000-01-03,,,11.261680603027344,,,,41.419857025146484,18.262887954711914,22.43064308166504,,20.706439971923828,12.3895263671875,,14.665024757385254,,11.2236967086792,92.1425552368164,13.628339767456055,,
2000-01-04,,,10.921976089477539,,,,39.31852340698242,17.758329391479492,21.755859375,,20.236570358276367,12.040642738342285,,14.52384090423584,,10.73305606842041,88.53916931152344,13.371804237365723,,
2000-01-05,,,11.197586059570312,,,,38.73481750488281,17.679180145263672,21.488271713256836,,20.055030822753906,12.253372192382812,,15.123858451843262,,10.648723602294922,88.69757843017578,13.724544525146484,,
2000-01-06,,,11.178357124328613,,,,37.45067596435547,17.9166202545166,21.73259925842285,,20.11910629272461,12.483128547668457,,15.51209831237793,,11.116371154785156,87.27205657958984,14.253641128540039,,
2000-01-07,,,11.274499893188477,,,,38.10441970825195,18.599266052246094,22.756404876708984,,20.364723205566406,13.274492263793945,,15.50328254699707,,11.300372123718262,92.34049987792969,14.405956268310547,,
2000-01-10,,,11.312952995300293,,,,39.5520133972168,18.599266052246094,22.640052795410156,,22.447105407714844,12.976663589477539,,15.450347900390625,,11.101038932800293,92.65727233886719,14.285713195800781,,
2000-01-11,,,11.19117546081543,,,,38.431297302246094,18.361812591552734,22.512086868286133,,21.849084854125977,12.976663589477539,,15.265039443969727,,10.917040824890137,91.5485610961914,14.301741600036621,,
2000-01-12,,,11.075804710388184,,,,38.26786804199219,18.144168853759766,22.38410758972168,,21.48600196838379,13.044736862182617,,15.044440269470215,,11.131704330444336,90.63780212402344,14.237608909606934,,
2000-01-13,,,10.973251342773438,,,,38.61808395385742,18.490434646606445,22.50044822692871,,22.126739501953125,13.112812042236328,,15.106205940246582,,11.46903133392334,91.86532592773438,14.486122131347656,,
2000-01-14,,,11.062982559204102,,,,39.505313873291016,18.361812591552734,22.44227409362793,,21.934511184692383,13.15535831451416,,15.000322341918945,,11.737353324890137,93.11266326904297,14.39793586730957,,
2000-01-18,,,11.018117904663086,,,,39.715457916259766,18.34202766418457,22.314311981201172,,21.528717041015625,12.934113502502441,,14.638551712036133,,11.346365928649902,92.38006591796875,14.574313163757324,,
2000-01-19,,,11.02452564239502,,,,39.785499572753906,18.282670974731445,22.26776885986328,,22.041301727294922,13.027721405029297,,14.356201171875,,11.308035850524902,93.13249969482422,14.526206016540527,,
2000-01-20,,,11.075804710388184,,,,40.01896667480469,18.163955688476562,21.965286254882812,,21.870450973510742,12.849021911621094,,13.97677230834961,,11.101038932800293,91.70693969726562,14.526206016540527,,
2000-01-21,,,11.434737205505371,,,,40.0656852722168,17.93640899658203,21.511539459228516,,21.82773780822754,12.704363822937012,,14.03853988647461,,10.963041305541992,91.50898742675781,14.927042007446289,,
2000-01-24,,,11.280914306640625,,,,38.7581672668457,17.421964645385742,20.70878791809082,,21.176326751708984,12.338468551635742,,13.667943954467773,,10.763712882995605,88.91532897949219,14.39793586730957,,
2000-01-25,,,11.018117904663086,,,,39.58705139160156,17.323034286499023,20.836759567260742,,21.32583236694336,12.185300827026367,,13.412056922912598,,10.878711700439453,89.925048828125,14.36587142944336,,
2000-01-26,,,10.966839790344238,,,,38.29119110107422,17.46153450012207,20.98800277709961,,21.22971534729004,12.29592514038086,,13.412056922912598,,11.285032272338867,89.21236419677734,14.141404151916504,,
2000-01-27,,,10.896329879760742,,,,37.917625427246094,17.56048011779785,20.929834365844727,,21.101566314697266,12.525668144226074,,13.482648849487305,,11.407698631286621,88.85597229003906,13.85280704498291,,
2000-01-28,,,10.838647842407227,,,,36.563438415527344,17.095483779907227,20.10382080078125,,20.674406051635742,12.423561096191406,,13.253233909606934,,11.009042739868164,86.08415222167969,13.692471504211426,,
2000-01-31,,,11.338595390319824,,,,37.77754211425781,17.214202880859375,20.255062103271484,,20.57829475402832,12.653313636779785,,13.17381477355957,,11.315699577331543,88.42037200927734,14.013137817382812,,
2000-02-01,,,11.255267143249512,,,,38.5713996887207,17.095483779907227,20.98800277709961,,20.845277786254883,12.525668144226074,,13.412056922912598,,11.377032279968262,89.29154205322266,13.981071472167969,,
2000-02-02,,,11.197586059570312,,,,38.851585388183594,17.10537338256836,20.84840202331543,,21.35786247253418,12.551198959350586,,13.473821640014648,,11.262033462524414,89.3707275390625,14.069262504577637,,
2000-02-03,,,11.178357124328613,,,,39.972286224365234,17.095483779907227,20.929834365844727,,21.550071716308594,12.381011962890625,,13.24440860748291,,11.193041801452637,90.71707153320312,13.900909423828125,,
2000-02-04,,,11.120668411254883,,,,40.439247131347656,17.16473960876465,20.894935607910156,,21.62484359741211,12.372507095336914,,13.226761817932129,,11.078041076660156,90.34086608886719,13.500070571899414,,
2000-02-07,,,11.088619232177734,,,,40.906211853027344,16.867938995361328,20.452836990356445,,21.272422790527344,12.355484008789062,,12.970870018005371,,10.963041305541992,90.20225524902344,13.652386665344238,,
2000-02-08,,,11.114263534545898,,,,41.279788970947266,16.937191009521484,20.918201446533203,,21.507366180419922,12.508652687072754,,12.935574531555176,,11.085708618164062,91.42981719970703,13.532139778137207,,
2000-02-09,,,11.114263534545898,,,,40.76612091064453,16.75912094116211,20.569171905517578,,21.122920989990234,12.398030281066895,,12.679688453674316,,10.825045585632324,89.50936889648438,13.08320426940918,,
2000-02-10,,,10.954018592834473,,,,41.73506164550781,16.472211837768555,20.38303565979004,,20.941381454467773,11.981077194213867,,12.573805809020996,,10.526057243347168,89.68753051757812,13.355772972106934,,
