Date,DGRW,DON,DES,DEM,DTH,DHS
2013-02-28 00:00:00-05:00,0.0,0.047667,0.046667,0.0,0.0,0.145
2013-03-31 00:00:00-04:00,0.0,0.021667,0.006667,0.13,0.231,0.13
2013-04-30 00:00:00-04:00,0.0,0.045,0.041667,0.0,0.0,0.14
2013-05-31 00:00:00-04:00,0.0,0.045,0.041667,0.0,0.0,0.14
2013-06-30 00:00:00-04:00,0.038,0.045,0.041667,0.932,0.903,0.14
2013-07-31 00:00:00-04:00,0.038,0.046667,0.041667,0.0,0.0,0.14
2013-08-31 00:00:00-04:00,0.038,0.046667,0.041667,0.0,0.0,0.14
2013-09-30 00:00:00-04:00,0.038,0.051667,0.045,0.782,0.353,0.14
2013-10-31 00:00:00-04:00,0.038,0.051667,0.045,0.0,0.0,0.15
2013-11-30 00:00:00-05:00,0.038,0.051667,0.045,0.0,0.0,0.15
2013-12-31 00:00:00-05:00,0.066,0.065333,0.099667,0.248,0.343,0.193
2014-01-31 00:00:00-05:00,0.038,0.051667,0.04,0.0,0.0,0.14
2014-02-28 00:00:00-05:00,0.038,0.051667,0.04,0.0,0.0,0.135
2014-03-31 00:00:00-04:00,0.038,0.051667,0.04,0.18,0.883,0.135
2014-04-30 00:00:00-04:00,0.038,0.041667,0.04,0.0,0.0,0.135
2014-05-31 00:00:00-04:00,0.036,0.039667,0.04,0.0,0.0,0.13
2014-06-30 00:00:00-04:00,0.048,0.055,0.053333,0.439,0.921,0.15
2014-07-31 00:00:00-04:00,0.048,0.05,0.053333,0.0,0.0,0.139
2014-08-31 00:00:00-04:00,0.05,0.055,0.053333,0.0,0.0,0.15
2014-09-30 00:00:00-04:00,0.07,0.069667,0.06,1.263,0.335,0.144
2014-10-31 00:00:00-04:00,0.023,0.069667,0.056333,0.0,0.0,0.171
2014-11-30 00:00:00-05:00,0.062,0.07,0.062333,0.0,0.0,0.159
2014-12-31 00:00:00-05:00,0.06899999999999999,0.108333,0.094667,0.441,0.377,0.204
2015-01-31 00:00:00-05:00,0.016,0.009667,0.016333,0.0,0.0,0.109
2015-02-28 00:00:00-05:00,0.067,0.039667,0.049667,0.0,0.0,0.181
2015-03-31 00:00:00-04:00,0.0,0.046667,0.066333,0.0,0.237,0.137
2015-04-30 00:00:00-04:00,0.02,0.044667,0.04,0.0,0.0,0.17
2015-05-31 00:00:00-04:00,0.059,0.06,0.046667,0.0,0.0,0.181
2015-06-30 00:00:00-04:00,0.0,0.083333,0.073333,0.362,0.819,0.165
2015-07-31 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-31 00:00:00-04:00,0.0,0.056667,0.043333,0.0,0.0,0.162
2015-09-30 00:00:00-04:00,0.08,0.08,0.086667,1.005,0.324,0.175
2015-10-31 00:00:00-04:00,0.0,0.04,0.036667,0.0,0.0,0.215
2015-11-30 00:00:00-05:00,0.065,0.058,0.043333,0.0,0.0,0.16
2015-12-31 00:00:00-05:00,0.098,0.217667,0.11733299999999999,0.282,0.274,0.228
2016-01-31 00:00:00-05:00,0.025,0.034,0.036667,0.0,0.0,0.14
2016-02-29 00:00:00-05:00,0.05,0.031667,0.03,0.0,0.0,0.135
2016-03-31 00:00:00-04:00,0.065,0.036667,0.038333,0.0,0.228,0.122
2016-04-30 00:00:00-04:00,0.06,0.069333,0.079333,0.0,0.0,0.236
2016-05-31 00:00:00-04:00,0.05,0.065,0.058333,0.0,0.0,0.16
2016-06-30 00:00:00-04:00,0.06,0.065,0.071667,0.28,0.78,0.14
2016-07-31 00:00:00-04:00,0.07,0.08,0.078333,0.0,0.0,0.23
2016-08-31 00:00:00-04:00,0.045,0.07,0.051667,0.0,0.0,0.185
2016-09-30 00:00:00-04:00,0.095,0.1,0.081667,0.805,0.24,0.215
2016-10-31 00:00:00-04:00,0.035,0.055,0.081667,0.0,0.0,0.185
2016-11-30 00:00:00-05:00,0.05,0.063333,0.053333,0.0,0.0,0.185
2016-12-31 00:00:00-05:00,0.105,0.109,0.083,0.271,0.33,0.253
2017-01-31 00:00:00-05:00,0.02,0.025,0.025,0.0,0.0,0.115
2017-02-28 00:00:00-05:00,0.035,0.05,0.04,0.0,0.0,0.15
2017-03-31 00:00:00-04:00,0.105,0.11,0.12,0.0,0.27,0.245
2017-04-30 00:00:00-04:00,0.035,0.015,0.016667,0.0,0.0,0.09
2017-05-31 00:00:00-04:00,0.04,0.043333,0.036667,0.0,0.0,0.145
2017-06-30 00:00:00-04:00,0.085,0.105,0.12,0.43,0.715,0.245
2017-07-31 00:00:00-04:00,0.05,0.066667,0.076667,0.0,0.0,0.18
2017-08-31 00:00:00-04:00,0.05,0.046667,0.045,0.0,0.0,0.175
2017-09-30 00:00:00-04:00,0.1,0.11,0.105,0.95,0.335,0.24
2017-10-31 00:00:00-04:00,0.045,0.055,0.071667,0.0,0.0,0.18
2017-11-30 00:00:00-05:00,0.02,0.035,0.04,0.0,0.0,0.115
2017-12-31 00:00:00-05:00,0.132,0.131,0.143,0.285,0.329,0.304
2018-01-31 00:00:00-05:00,0.015,0.015,0.03,0.0,0.0,0.115
2018-02-28 00:00:00-05:00,0.04,0.03,0.01,0.0,0.0,0.09
2018-03-31 00:00:00-04:00,0.141,0.09,0.1,0.0,0.208,0.357
2018-04-30 00:00:00-04:00,0.02,0.015,0.025,0.0,0.0,0.11
2018-05-31 00:00:00-04:00,0.04,0.045,0.03,0.0,0.0,0.125
2018-06-30 00:00:00-04:00,0.115,0.105,0.11,0.42,0.886,0.27
2018-07-31 00:00:00-04:00,0.085,0.085,0.15,0.0,0.0,0.28
2018-08-31 00:00:00-04:00,0.065,0.065,0.05,0.0,0.0,0.14
2018-09-30 00:00:00-04:00,0.144,0.119,0.12,1.147,0.305,0.33
2018-10-31 00:00:00-04:00,0.015,0.06,0.11,0.0,0.0,0.185
2018-11-30 00:00:00-05:00,0.065,0.07,0.045,0.0,0.0,0.145
