Date,DGRW,GGRW,DON,DES,DEM,DTH,DHS
2021-02-19,54.68000030517578,24.670000076293945,37.9900016784668,29.40999984741211,43.540000915527344,38.77000045776367,71.6500015258789
2021-02-22,54.33000183105469,23.91699981689453,38.2400016784668,29.75,43.09000015258789,38.90999984741211,71.9800033569336
2021-02-23,54.369998931884766,23.709999084472656,38.45000076293945,29.799999237060547,43.63999938964844,39.13999938964844,72.16999816894531
2021-02-24,54.91999816894531,23.833999633789062,39.15999984741211,30.329999923706055,43.560001373291016,39.43000030517578,72.97000122070312
2021-02-25,54.0,22.798999786376953,38.22999954223633,29.739999771118164,43.02000045776367,39.02000045776367,71.91999816894531
2021-02-26,53.61000061035156,23.099000930786133,37.72999954223633,29.420000076293945,42.439998626708984,38.310001373291016,70.66999816894531
2021-03-01,54.650001525878906,23.648000717163086,38.709999084472656,30.270000457763672,43.220001220703125,38.95000076293945,71.93000030517578
2021-03-02,54.310001373291016,23.309999465942383,38.36000061035156,29.920000076293945,43.20000076293945,38.91999816894531,71.83000183105469
2021-03-03,53.86000061035156,22.39900016784668,38.560001373291016,30.18000030517578,43.439998626708984,38.939998626708984,72.08999633789062
2021-03-04,53.099998474121094,21.617000579833984,38.11000061035156,29.739999771118164,42.86000061035156,38.66999816894531,71.44000244140625
2021-03-05,54.459999084472656,21.804000854492188,39.15999984741211,30.6200008392334,43.40999984741211,38.939998626708984,72.94000244140625
2021-03-08,54.65999984741211,21.020000457763672,39.79999923706055,31.459999084472656,43.02000045776367,39.040000915527344,73.94999694824219
2021-03-09,55.040000915527344,21.993999481201172,39.59000015258789,31.350000381469727,43.540000915527344,39.33000183105469,73.80999755859375
2021-03-10,55.470001220703125,21.83799934387207,40.29999923706055,32.0099983215332,43.58000183105469,39.439998626708984,74.73999786376953
2021-03-11,55.619998931884766,22.679000854492188,40.5,32.15999984741211,44.38999938964844,39.59000015258789,74.55000305175781
2021-03-12,55.83000183105469,22.437000274658203,40.869998931884766,32.54999923706055,44.2400016784668,39.72999954223633,75.22000122070312
2021-03-15,56.189998626708984,22.617000579833984,41.2400016784668,32.40999984741211,44.599998474121094,39.689998626708984,75.88999938964844
2021-03-16,56.2599983215332,22.639999389648438,40.86000061035156,31.969999313354492,44.599998474121094,39.65999984741211,75.77999877929688
2021-03-17,56.34000015258789,22.690000534057617,40.9900016784668,32.06999969482422,44.54999923706055,39.86000061035156,75.77999877929688
2021-03-18,55.939998626708984,21.886999130249023,40.619998931884766,31.75,44.029998779296875,39.66999816894531,75.75
2021-03-19,55.81999969482422,22.052000045776367,40.56999969482422,31.780000686645508,44.38999938964844,39.810001373291016,75.51000213623047
2021-03-22,56.369998931884766,22.29800033569336,40.16999816894531,31.219999313354492,44.290000915527344,39.779998779296875,75.7699966430664
2021-03-23,56.02000045776367,22.08099937438965,39.25,30.3799991607666,43.560001373291016,39.40999984741211,74.97000122070312
2021-03-24,55.970001220703125,21.600000381469727,39.16999816894531,30.170000076293945,43.220001220703125,39.189998626708984,74.79000091552734
2021-03-25,56.2599983215332,21.545000076293945,39.939998626708984,30.770000457763672,43.09000015258789,39.209999084472656,75.37000274658203
2021-03-26,57.459999084472656,21.649999618530273,40.720001220703125,31.469999313354492,44.02000045776367,39.720001220703125,76.80000305175781
2021-03-29,57.540000915527344,21.77400016784668,40.279998779296875,30.860000610351562,44.099998474121094,39.630001068115234,76.77999877929688
2021-03-30,57.15999984741211,21.73699951171875,40.58000183105469,31.219999313354492,44.220001220703125,39.560001373291016,76.5
2021-03-31,57.189998626708984,22.275999069213867,40.41999816894531,31.149999618530273,44.36000061035156,39.310001373291016,76.30000305175781
2021-04-01,57.5,22.805999755859375,40.97999954223633,31.479999542236328,44.22999954223633,39.56999969482422,76.58999633789062
2021-04-05,58.20000076293945,23.14900016784668,41.15999984741211,31.700000762939453,44.439998626708984,40.130001068115234,77.08999633789062
2021-04-06,58.02000045776367,23.21500015258789,41.209999084472656,31.670000076293945,44.2599983215332,39.650001525878906,77.05999755859375
2021-04-07,58.0,23.160999298095703,41.02000045776367,31.420000076293945,44.22999954223633,39.779998779296875,76.97000122070312
2021-04-08,58.099998474121094,23.43600082397461,40.97999954223633,31.510000228881836,44.439998626708984,39.900001525878906,76.9000015258789
2021-04-09,58.4900016784668,23.52899932861328,41.099998474121094,31.6200008392334,44.09000015258789,39.869998931884766,77.16999816894531
2021-04-12,58.5099983215332,23.56999969482422,41.400001525878906,31.84000015258789,43.90999984741211,39.75,77.44999694824219
2021-04-13,58.439998626708984,23.926000595092773,41.11000061035156,31.540000915527344,44.13999938964844,39.810001373291016,77.19999694824219
2021-04-14,58.36000061035156,23.57200050354004,41.380001068115234,31.780000686645508,44.36000061035156,39.810001373291016,77.3499984741211
2021-04-15,58.939998626708984,24.014999389648438,41.56999969482422,31.959999084472656,44.880001068115234,40.20000076293945,77.66999816894531
2021-04-16,59.33000183105469,23.98200035095215,41.869998931884766,32.13999938964844,45.119998931884766,40.529998779296875,78.38999938964844
2021-04-19,59.0099983215332,23.649999618530273,41.77000045776367,31.899999618530273,45.18000030517578,40.540000915527344,77.88999938964844
2021-04-20,58.88999938964844,23.354999542236328,41.29999923706055,31.31999969482422,44.97999954223633,40.0,77.55999755859375
2021-04-21,59.33000183105469,23.701000213623047,41.880001068115234,31.829999923706055,45.33000183105469,40.290000915527344,78.36000061035156
2021-04-22,58.7400016784668,23.582000732421875,41.52000045776367,31.610000610351562,45.189998626708984,39.9900016784668,77.72000122070312
