Date,XLK,XLF,XLE,XLV,XLY,XLP,XLU,XLI,XLB,XLRE
2000-01-03,41.41987991333008,11.223706245422363,13.628339767456055,20.70644760131836,22.43063735961914,12.3895263671875,11.261687278747559,18.262882232666016,14.665027618408203,
2000-01-04,39.31851577758789,10.733051300048828,13.371804237365723,20.23656463623047,21.755868911743164,12.040642738342285,10.92197322845459,17.758338928222656,14.523845672607422,
2000-01-05,38.73481750488281,10.648717880249023,13.724544525146484,20.055025100708008,21.48827362060547,12.253372192382812,11.197582244873047,17.67918586730957,15.123862266540527,
2000-01-06,37.45067596435547,11.116374969482422,14.253641128540039,20.119104385375977,21.73259162902832,12.483128547668457,11.17835521697998,17.9166202545166,15.512106895446777,
2000-01-07,38.10441589355469,11.300369262695312,14.405956268310547,20.364717483520508,22.756397247314453,13.274492263793945,11.274500846862793,18.599262237548828,15.50328540802002,
2000-01-10,39.55202865600586,11.101037979125977,14.285713195800781,22.44710922241211,22.640052795410156,12.976663589477539,11.312955856323242,18.599262237548828,15.450337409973145,
2000-01-11,38.43128967285156,10.917047500610352,14.301741600036621,21.84908676147461,22.5120849609375,12.976663589477539,11.19117546081543,18.361818313598633,15.265040397644043,
2000-01-12,38.26786804199219,11.131709098815918,14.237608909606934,21.486011505126953,22.38410758972168,13.044736862182617,11.075799942016602,18.1441650390625,15.044445991516113,
2000-01-13,38.618080139160156,11.469027519226074,14.486122131347656,22.12673568725586,22.500438690185547,13.112812042236328,10.973241806030273,18.490428924560547,15.10621166229248,
2000-01-14,39.505313873291016,11.737358093261719,14.39793586730957,21.934513092041016,22.44228172302246,13.15535831451416,11.062979698181152,18.361818313598633,15.000326156616211,
2000-01-18,39.7154541015625,11.346366882324219,14.574313163757324,21.528732299804688,22.314300537109375,12.934113502502441,11.018115997314453,18.3420352935791,14.638554573059082,
2000-01-19,39.78550338745117,11.308032989501953,14.526206016540527,22.041301727294922,22.267770767211914,13.027721405029297,11.02452278137207,18.282676696777344,14.356192588806152,
2000-01-20,40.01898956298828,11.101037979125977,14.526206016540527,21.870447158813477,21.965274810791016,12.849021911621094,11.075799942016602,18.16395378112793,13.976771354675293,
2000-01-21,40.0656852722168,10.963046073913574,14.927042007446289,21.827722549438477,21.511545181274414,12.704363822937012,11.434738159179688,17.936410903930664,14.038535118103027,
2000-01-24,38.7581672668457,10.763715744018555,14.39793586730957,21.176313400268555,20.70878791809082,12.338468551635742,11.28090763092041,17.421960830688477,13.667947769165039,
2000-01-25,39.587039947509766,10.878708839416504,14.36587142944336,21.325822830200195,20.836772918701172,12.185300827026367,11.018115997314453,17.32303237915039,13.412056922912598,
2000-01-26,38.29122543334961,11.28503704071045,14.141404151916504,21.22970199584961,20.988014221191406,12.29592514038086,10.966839790344238,17.46153450012207,13.412056922912598,
2000-01-27,37.917625427246094,11.407697677612305,13.85280704498291,21.1015625,20.929838180541992,12.525668144226074,10.896330833435059,17.56047248840332,13.482645034790039,
2000-01-28,36.56344223022461,11.009039878845215,13.692471504211426,20.67440414428711,20.10381317138672,12.423561096191406,10.838643074035645,17.095491409301758,13.25322437286377,
2000-01-31,37.77754592895508,11.315701484680176,14.013137817382812,20.578292846679688,20.255062103271484,12.653313636779785,11.338597297668457,17.21421241760254,13.17381763458252,
2000-02-01,38.57139587402344,11.377032279968262,13.981071472167969,20.84526824951172,20.988014221191406,12.525668144226074,11.255269050598145,17.095491409301758,13.412056922912598,
2000-02-02,38.85155487060547,11.26203727722168,14.069262504577637,21.357858657836914,20.848398208618164,12.551198959350586,11.197582244873047,17.105375289916992,13.473817825317383,
