Date,SPY,EFA,AGG,VNQ,GSG,FXE,EEM,GLD,TIP,LQD,USO,UNG,HYG,IWM,QQQ
2000-01-03,92.14254760742188,,,,,,,,,,,,,,80.22420501708984
2000-01-04,88.5391845703125,,,,,,,,,,,,,,74.720703125
2000-01-05,88.69758605957031,,,,,,,,,,,,,,72.81565856933594
2000-01-06,87.27210235595703,,,,,,,,,,,,,,67.81484985351562
2000-01-07,92.34051513671875,,,,,,,,,,,,,,76.20245361328125
2000-01-10,92.65731811523438,,,,,,,,,,,,,,78.31912994384766
2000-01-11,91.5485610961914,,,,,,,,,,,,,,74.5090560913086
2000-01-12,90.63780212402344,,,,,,,,,,,,,,72.86854553222656
2000-01-13,91.86531066894531,,,,,,,,,,,,,,77.26079559326172
2000-01-14,93.11265563964844,,,,,,,,,,,,,,79.05998992919922
2000-01-18,92.38013458251953,,,,,,,,,,,,,,79.48336791992188
2000-01-19,93.13243865966797,,,,,,,,,,,,,,81.28250885009766
2000-01-20,91.70698547363281,,,,,,,,,,,,,,80.48878479003906
2000-01-21,91.509033203125,,,,,,,,,,,,,,81.49423217773438
2000-01-24,88.91532135009766,,,,,,,,,,,,,,77.57832336425781
2000-01-25,89.92508697509766,,,,,,,,,,,,,,78.74247741699219
2000-01-26,89.21234893798828,,,,,,,,,,,,,,75.56742095947266
2000-01-27,88.8559799194336,,,,,,,,,,,,,,76.67868041992188
2000-01-28,86.08419036865234,,,,,,,,,,,,,,72.81565856933594
2000-01-31,88.4204330444336,,,,,,,,,,,,,,75.93782043457031
2000-02-01,89.29157257080078,,,,,,,,,,,,,,77.97518920898438
2000-02-02,89.37068176269531,,,,,,,,,,,,,,78.63665008544922
2000-02-03,90.71699523925781,,,,,,,,,,,,,,81.7059097290039
2000-02-04,90.34085083007812,,,,,,,,,,,,,,82.26154327392578
2000-02-07,90.20230102539062,,,,,,,,,,,,,,83.3993148803711
2000-02-08,91.4297866821289,,,,,,,,,,,,,,86.89189910888672
2000-02-09,89.50932312011719,,,,,,,,,,,,,,83.82266235351562
2000-02-10,89.68753051757812,,,,,,,,,,,,,,86.57440185546875
2000-02-11,87.86602783203125,,,,,,,,,,,,,,84.56349182128906
2000-02-14,88.38080596923828,,,,,,,,,,,,,,84.45767211914062
2000-02-15,89.38060760498047,,,,,,,,,,,,,,85.06620788574219
2000-02-16,88.06404113769531,,,,,,,,,,,,,,84.66932678222656
2000-02-17,87.6086654663086,,,,,,,,,,,,,,86.46856689453125
2000-02-18,85.72779083251953,,,,,,,,,,,,,,83.34639739990234
2000-02-22,85.51000213623047,,,,,,,,,,,,,,83.61097717285156
2000-02-23,86.51971435546875,,,,,,,,,,,,,,88.26781463623047
2000-02-24,84.77747344970703,,,,,,,,,,,,,,90.17284393310547
2000-02-25,84.4705810546875,,,,,,,,,,,,,,88.10904693603516
2000-02-28,86.24253845214844,,,,,,,,,,,,,,88.05612182617188
2000-02-29,87.07413482666016,,,,,,,,,,,,,,90.38453674316406
2000-03-01,87.70764923095703,,,,,,,,,,,,,,91.1253662109375
2000-03-02,87.76708221435547,,,,,,,,,,,,,,89.01524353027344
2000-03-03,89.41031646728516,,,,,,,,,,,,,,94.03587341308594
2000-03-06,88.5391845703125,,,,,,,,,,,,,,94.77674102783203
2000-03-07,86.82662200927734,,,,,,,,,,,,,,93.34793090820312
2000-03-08,86.71773529052734,,,,,,,,,,,,,,94.19461059570312
2000-03-09,89.25193786621094,,,,,,,,,,,,,,97.3697509765625
2000-03-10,88.77679443359375,,,,,,,,,,,,,,96.94641876220703
2000-03-13,87.8066635131836,,,,,,,,,,,,,,94.40631866455078
2000-03-14,86.55931854248047,,,,,,,,,,,,,,90.91368865966797
2000-03-15,88.57878112792969,,,,,,,,,,,,,,87.10359954833984
2000-03-16,92.71665954589844,,,,,,,,,,,,,,92.07793426513672
2000-03-17,93.32942199707031,,,,,,,,,,,,,,93.82422637939453
2000-03-20,92.85311126708984,,,,,,,,,,,,,,91.17829895019531
2000-03-21,94.75857543945312,,,,,,,,,,,,,,94.61798858642578
2000-03-22,95.33418273925781,,,,,,,,,,,,,,96.5230484008789
2000-03-23,96.9618148803711,,,,,,,,,,,,,,98.2164535522461
2000-03-24,97.53740692138672,,,,,,,,,,,,,,99.53939819335938
2000-03-27,96.50526428222656,,,,,,,,,,,,,,99.69813537597656
2000-03-28,95.94951629638672,,,,,,,,,,,,,,97.1580810546875
2000-03-29,96.04875183105469,,,,,,,,,,,,,,93.13626861572266
2000-03-30,94.44100189208984,,,,,,,,,,,,,,90.8078842163086
2000-03-31,95.5128402709961,,,,,,,,,,,,,,92.71292877197266
2000-04-03,96.06859588623047,,,,,,,,,,,,,,87.156494140625
2000-04-04,95.35405731201172,,,,,,,,,,,,,,86.3097915649414
2000-04-05,94.75857543945312,,,,,,,,,,,,,,84.77519226074219
2000-04-06,95.58232879638672,,,,,,,,,,,,,,86.78606414794922
2000-04-07,96.1877212524414,,,,,,,,,,,,,,90.2786636352539
2000-04-10,95.81053924560547,,,,,,,,,,,,,,84.77519226074219
2000-04-11,95.53266906738281,,,,,,,,,,,,,,82.76428985595703
2000-04-12,92.91266632080078,,,,,,,,,,,,,,77.89579772949219
2000-04-13,91.62251281738281,,,,,,,,,,,,,,74.5090560913086
2000-04-14,86.38239288330078,,,,,,,,,,,,,,68.05299377441406
2000-04-17,89.39940643310547,,,,,,,,,,,,,,75.88490295410156
2000-04-18,91.76142120361328,,,,,,,,,,,,,,77.89579772949219
2000-04-19,90.90791320800781,,,,,,,,,,,,,,75.51447296142578
